Team,Season,Week,Date,Opp
Seattle Seahawks,2018,1,2018-09-09,Denver Broncos
Seattle Seahawks,2018,2,2018-09-17,Chicago Bears
Seattle Seahawks,2018,3,2018-09-23,Dallas Cowboys
Seattle Seahawks,2018,4,2018-09-30,Arizona Cardinals
Seattle Seahawks,2018,5,2018-10-07,Los Angeles Rams
Seattle Seahawks,2018,6,2018-10-14,Oakland Raiders
Seattle Seahawks,2018,8,2018-10-28,Detroit Lions
Seattle Seahawks,2018,9,2018-11-04,Los Angeles Chargers
Seattle Seahawks,2018,10,2018-11-11,Los Angeles Rams
Seattle Seahawks,2018,11,2018-11-15,Green Bay Packers
Seattle Seahawks,2018,12,2018-11-25,Carolina Panthers
Seattle Seahawks,2018,13,2018-12-02,San Francisco 49ers
